     MaNGAID     objRA    objDec    g_ps1    r_ps1    i_ps1    z_ps1 gerr_ps1 rerr_ps1 ierr_ps1 zerr_ps1
 3-106102592  11.71164 -10.82200   15.882   15.880   15.971   16.068    0.008    0.005    0.008    0.006
 3-106102941  13.28678 -12.16124   16.868   16.950   17.063   17.127    0.001    0.004    0.006    0.004
 3-106120262  13.07545 -12.10234   16.332   15.123   14.340   13.962    0.005    0.003    0.023    0.004
 3-106137255  12.08386 -11.77820   16.779   15.565   14.965   14.677    0.006    0.003    0.004    0.004
 3-106137419  12.83532 -12.48433   16.584   15.343   14.560   14.185    0.002    0.002    0.005    0.002
 3-106153944  11.08922 -11.20771   16.078 -999.000 -999.000   13.012    0.014  999.000  999.000    0.001
 3-106154006  11.33861 -11.46688   16.826   15.563   14.651   14.212    0.006    0.006    0.006    0.004
 3-106154043  11.63695 -11.67988   16.520   15.317   14.636   14.303  999.000    0.005    0.005    0.005
 3-106154273  12.93396 -12.68932   16.376   15.187   13.833   13.207    0.005    0.007  999.000    0.025
 3-106170737  10.94738 -11.37109   15.010   15.081   15.212   15.284    0.005    0.004    0.004    0.003
 3-106187132  11.93076 -12.34060   16.699   15.499   14.434   13.930  999.000    0.005    0.006    0.002
 3-106187139  11.95049 -12.53882   16.808   15.596   14.783   14.421    0.005    0.005    0.003    0.003
 3-106218370  11.23808 -12.48202   15.097   15.480   15.853   16.121    0.005    0.002    0.002    0.003
 3-106233932  11.16145 -12.72380   16.943   15.713   14.729   14.292    0.013    0.004    0.004    0.004
 3-10834340  292.20265  41.77424   15.390   14.378   14.005   13.781    0.004    0.006  999.000  999.000
 3-108800468 177.68448   0.11406   16.624   16.306   16.204   16.173    0.002    0.004    0.005    0.003
 3-108837212 177.24667   0.02948   16.674   16.231   16.080   16.049    0.002    0.004    0.001    0.002
 3-108912221 176.67088   0.07414   16.173   15.882   15.787   15.766    0.005    0.003    0.007    0.003
 3-108989573 177.53376   1.36840   18.033   16.842   15.711   15.215    0.003    0.014    0.003    0.005
 3-109069581 176.35753   0.91355   14.704   14.278   14.110   14.060    0.003    0.006    0.005    0.009
 3-109151426 176.83411   1.82395   15.791   15.802   15.650   15.713    0.030    0.049    0.048    0.036
 3-109190081 190.17964  -3.63942   15.858   15.206   14.957   14.853    0.003    0.002    0.005    0.004
 3-109190165 190.13351  -3.55288   15.437   15.193   15.099   15.097    0.010    0.007    0.005    0.003
 3-109193473 175.72878   1.20693   14.452   14.634   14.681   14.568    0.192    0.092    0.007    0.074
 3-109232223 190.54127  -3.67331   15.013   14.295   14.009   13.904    0.002    0.002    0.005    0.004
 3-109232289 190.38084  -3.56369   16.485   16.292   16.270   16.294    0.003    0.002    0.006    0.004
 3-109232315 190.51847  -3.60502   14.671   14.126   13.905   13.813    0.005  999.000    0.003    0.004
 3-109232372 190.06233  -3.34735   16.472   16.020   15.838   15.782    0.004    0.007    0.006    0.003
 3-109275386 191.04650  -3.73721   15.835   15.518   15.435   15.406    0.005    0.003    0.011    0.004
 3-109275433 190.66372  -3.63021   14.598   14.210   14.062   14.016    0.003    0.000    0.011    0.005
 3-109275646 189.99178  -2.86017   16.193   15.655   15.421   15.301    0.003    0.002    0.004    0.003
 3-109278902 176.05495   2.22962   15.508   14.416   13.888   13.646    0.010    0.010    0.003    0.006
 3-109319828 191.05219  -3.66775   16.083   15.780   15.700   15.673    0.003    0.003    0.002    0.003
 3-109319870 190.99932  -3.46924   15.921   15.220   14.965   14.845    0.003    0.001    0.008    0.003
 3-109319912 190.62887  -3.26935   15.474   14.806   14.571   14.452    0.010    0.005    0.005    0.003
 3-109319965 190.61661  -3.05575   14.611   14.056   13.820   13.761    0.003    0.004    0.008    0.002
 3-109320012 190.37608  -3.04605   15.387   14.874   14.682   14.589    0.001    0.003    0.005    0.007
 3-109320019 190.38024  -3.12472   15.808   15.521   15.437   15.425    0.005    0.001    0.007    0.003
 3-109320114 189.99436  -2.76556   16.388   15.842   15.642   15.540    0.002    0.004    0.002    0.006
 3-109364557 190.89664  -3.12468   15.276   14.327   13.906   13.703    0.003    0.005    0.006    0.006
 3-109364630 190.62075  -2.93312   15.822   15.357   15.178   15.095    0.006    0.003    0.005    0.003
 3-109364668 190.47368  -2.80849   15.084   14.574   14.378   14.289    0.005    0.003    0.005    0.002
 3-109364728 190.24012  -2.65592   15.930   14.965   14.548   14.330    0.002    0.005    0.002    0.002
 3-109364758 190.25436  -2.59088   15.983   15.701   15.619   15.595    0.004    0.004    0.006    0.004
 3-109409592 190.70209  -2.62849   14.763   14.175   13.933   13.830    0.005    0.005    0.005    0.006
 3-109409686 190.48147  -2.40326   16.254   15.745   15.539   15.462    0.002    0.003    0.011    0.003
 3-109409719 190.32809  -2.49643   14.733   14.246   14.048   13.957    0.002    0.007    0.011    0.003
 3-109409729 190.11412  -2.30806   15.765   15.247   15.029   14.939    0.005    0.004    0.001    0.002
 3-109409744 190.19464  -2.24429   16.216   15.954   15.861   15.849    0.002    0.007    0.003    0.002
 3-109454309 192.35844  -3.76821   15.353   15.120   15.051   15.056    0.009    0.002    0.004    0.005
 3-109454401 191.83764  -3.47159   15.735   14.649   14.172   13.967    0.004    0.004    0.001    0.002
 3-109454535 191.41239  -3.04747   15.726   15.155   14.890   14.788    0.003    0.002    0.005    0.003
 3-109454572 191.46160  -2.90608   16.478   16.561   16.702   16.765    0.005    0.003    0.002    0.003
 3-109454633 191.08833  -2.58542   16.300   15.938   15.841   15.919    0.024    0.057    0.029    0.057
 3-109454796 190.53842  -2.34710   15.997   15.715   15.633   15.641    0.007    0.002    0.003    0.002
